METHOD,PATH,EXPECT,AUTH,BODY
GET,/api/v1/chat/flags,200,false,
GET,/api/v1/auth/me,200,false,
GET,/api/v1/auth/verify,200,false,
GET,/api/v1/user/scan-history,200,false,
GET,/api/v1/user/scan-statistics,200,false,
GET,/api/v1/notifications/devices-dev,200,false,
GET,/api/v1/notifications/history-dev,200,false,
GET,/api/v1/notifications/devices,200,false,
GET,/api/v1/notifications/history,200,false,
GET,/api/v1/monitoring/products,200,false,
GET,/api/v1/monitoring/status,200,false,
GET,/api/v1/dashboard/overview,200,false,
GET,/api/v1/dashboard/activity,200,false,
GET,/api/v1/dashboard/product-categories,200,false,
GET,/api/v1/dashboard/safety-insights,200,false,
GET,/api/v1/dashboard/recent-recalls,200,false,
GET,/api/v1/dashboard/achievements,200,false,
GET,/api/v1/agencies,200,false,
GET,/api/v1/fda,200,false,
GET,/api/v1/cpsc,200,false,
GET,/api/v1/eu_safety_gate,200,false,
GET,/api/v1/uk_opss,200,false,
GET,/agencies,200,false,
GET,/cpsc,200,false,
GET,/eu_safety_gate,200,false,
GET,/uk_opss,200,false,
GET,/api/v1/barcode/cache/status,200,false,
GET,/api/v1/barcode/test/barcodes,200,false,
GET,/api/v1/enhanced-scan/test-validation,200,false,
GET,/api/v1/enhanced-scan/health,200,false,
GET,/api/v1/safety-reports/my-reports-dev,200,false,
GET,/api/v1/safety-reports/my-reports,200,false,
GET,/api/v1/share/my-shares,200,false,
GET,/api/v1/recall-alerts/check-now-dev,200,false,
GET,/api/v1/recall-alerts/preferences-dev,200,false,
GET,/api/v1/recall-alerts/check-now,200,false,
GET,/api/v1/recall-alerts/preferences,200,false,
GET,/api/v1/recalls,200,false,
GET,/api/v1/recalls/search-dev,200,false,
GET,/api/v1/recalls/stats-dev,200,false,
GET,/api/v1/recalls/stats,200,false,
GET,/api/v1/incidents/clusters,200,false,
GET,/api/v1/incidents/stats,200,false,
GET,/api/v1/incidents/clusters-dev,200,false,
GET,/api/v1/incidents/stats-dev,200,false,
GET,/api/v1/incidents/report-page,200,false,
GET,/api/v1/safety-hub/articles,200,false,
GET,/api/v1/visual/review/queue,200,false,
GET,/api/v1/risk-assessment,200,false,
GET,/api/v1/risk-assessment/search,200,false,
GET,/api/v1/risk-assessment/stats,200,false,
GET,/api/v1/subscription/status,200,false,
GET,/api/v1/subscription/entitlement,200,false,
GET,/api/v1/subscription/history,200,false,
GET,/api/v1/subscription/history-dev,200,false,
GET,/api/v1/subscription/products,200,false,
GET,/api/v1/subscription/plans,200,false,
GET,/api/v1/settings/,200,false,
GET,/api/v1/settings/crashlytics/status,200,false,
GET,/api/v1/settings/retry-policy,200,false,
GET,/api/v1/user/privacy/summary,200,false,
GET,/api/v1/i18n/locales,200,false,
GET,/api/v1/i18n/translations,200,false,
GET,/api/v1/i18n/a11y/labels,200,false,
GET,/api/v1/i18n/a11y/config,200,false,
GET,/api/v1/monitoring/readyz,200,false,
GET,/api/v1/monitoring/livez,200,false,
GET,/api/v1/monitoring/slo,200,false,
GET,/api/v1/monitoring/probe,200,false,
GET,/metrics,200,false,
GET,/legal/,200,false,
GET,/legal/privacy/summary,200,false,
GET,/legal/compliance/status,200,false,
GET,/legal/cookies/preferences,200,false,
GET,/legal/data-deletion,200,false,
GET,/api/v1/feedback/categories,200,false,
GET,/api/v1/feedback/health,200,false,
GET,/api/v1/feedback/admin/stats,200,false,
GET,/api/v1/premium/family/members,200,false,
GET,/api/v1/baby/community/alerts,200,false,
GET,/api/v1/supplemental/data-sources,200,false,
GET,/api/v1/supplemental/health,200,false,
GET,/api/v1/supplemental/test-simple,200,false,
GET,/api/v1/supplemental/test-cosmetic-simple,200,false,
GET,/api/v1/supplemental/test-dataclass,200,false,
GET,/api/v1/supplemental/test-post-endpoint,200,false,
GET,/api/v1/supplemental/test-recalls-fix,200,false,
GET,/api/v1/supplemental/test-recall-detail,200,false,
GET,/api/v1/supplemental/test-cache-clear,200,false,
GET,/api/v1/supplemental/test-cosmetic,200,false,
GET,/api/v1/lookup/barcode,200,false,
GET,/admin/login.php,200,false,
GET,/.env,200,false,
GET,/backup/database.sql,200,false,
GET,/backup.sql,200,false,
GET,/.git/HEAD,200,false,
GET,/.git/config,200,false,
GET,/phpmyadmin/index.php,200,false,
GET,/wp-admin/admin.php,200,false,
GET,/api/v1/admin/config,200,false,
GET,/api/admin/users,200,false,
GET,/security/intelligence,200,false,
GET,/security/dashboard,200,false,
GET,/security/metrics,200,false,
GET,/security/threats/live,200,false,
GET,/health,200,false,
GET,/readyz,200,false,
GET,/test,200,false,
GET,/openapi.json,200,false,
GET,/cache/stats,200,false,
GET,/api/v1/autocomplete/products,200,false,
GET,/api/v1/autocomplete/brands,200,false,
GET,/api/v1/analytics/recalls,200,false,
GET,/api/v1/analytics/counts,200,false,
GET,/api/v1/monitoring/agencies,200,false,
GET,/api/v1/monitoring/system,200,false,
GET,/mobile/stats,200,false,
